country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bahrain,1.0933075933075933,1.1071218363743376,1.107389686337055,1.1243089216855342,1.1721763085399448,1.099490795142969,1.0078375489846811,1.083421703782255,1.0048939641109298,0.9866883116883117,1.029285949325436,1.1080562659846547,1.0929024812463934,1.0857972544878565,1.0389010454655967,1.0528902410484438,1.034229828850856,1.0674833440790885,1.0481175760016108,2.3945447560507103,1.0557516444729664,1.048172631259023,1.0476259514316781,1.0226958206476613,1.2039242219215156,1.0872204113746207,1.035046004341983,0.9886636036755893,1.0067181896246906,1.0514801806322127,1.0230005726283642,1.0130982367758188,1.0603164079046723,1.0663603835197666,1.0629148511626014,1.0001149337215538,0.9999616931622294
Bangladesh,1.2164667393675026,1.1497086508292247,1.0432748538011696,1.116965620328849,1.048845767815323,1.141945773524721,1.0516759776536313,1.0945551128818063,1.217908274690609,1.0005977286312016,1.093189964157706,1.2112932604735884,1.1297744360902255,1.096366298416079,1.0460118975355104,1.043291550603528,1.0443875848258986,1.0828717511717085,1.1153846153846154,1.0985977599435577,1.1227422332824917,1.0888030888030886,1.0715786708694508,1.3010785635494548,1.1057887051952333,1.170038761340887,1.0050602497360661,1.0155389742103738,1.1005813746121198,1.1079495738406198,1.086281736281736,1.075669533467249,1.0768499048763391,1.0732948998093823,1.0618136925775918,1.188230494645589,1.0608895679192487
Barbados,1.0153256704980842,1.0452830188679245,0.9530685920577617,1.1553030303030303,1.022950819672131,1.0320512820512822,1.1304347826086956,1.0576923076923077,0.9766233766233766,1.0531914893617023,1.1616161616161615,1.0369565217391303,0.9937106918238994,1.0506329113924051,1.0622489959839359,1.0661625708884686,1.0620567375886525,1.0267111853088482,1.0764227642276423,1.0619335347432024,1.0455192034139402,1.0489795918367346,1.050583657587549,1.0320987654320986,1.0657894736842104,1.0246913580246915,1.027382256297919,1.0319829424307037,1.0103305785123966,0.9376278118609408,1.0043620501635768,1.1085776330076003,0.8971596474045055,1.005458515283843,1.0445168295331162,1.0311850311850312,1.0171370967741935
Belgium,1.000464807436919,0.9931196212473176,1.0257295611494766,1.0478227820610273,1.0371007523783862,1.0252013510002598,1.0486568677141408,1.0419191731419861,1.0318114506949276,1.0207497579194909,1.0471947418349372,1.034779514057394,1.0108648074037017,1.0475078483831557,1.0291577471026794,1.0212308133696744,1.0255084983846046,1.0258493999461686,1.0054062383041646,1.0429360673590269,1.0096395054182423,1.010215921703158,1.0164298734050787,1.022318028840249,0.9943891098268671,1.0306050940022236,0.9980069639025991,0.9996475853724435,0.9277530347720834,1.0755424387895984,0.9735729511382238,1.005576455503272,1.0018044027426922,0.9776657060518732,1.0090272660280029,1.0033108149230114,1.0093415992332608
Belize,1.010989010989011,1.0108695652173914,1.021505376344086,1.0842105263157895,1.0388349514563107,1.0280373831775702,1.0454545454545454,1.0869565217391304,1.0319999999999998,1.1007751937984496,1.1126760563380285,1.0886075949367087,1.0930232558139534,0.9308510638297873,1.04,1.021978021978022,1.0752688172043015,0.9599999999999997,1.046875,0.900497512437811,1.609932869957821,1.0922509225092252,1.0945945945945945,1.074074074074074,1.0488505747126438,1.0356164383561643,1.0555555555555556,1.0551378446115287,0.9097387173396675,1.1825065274151436,1.0311327003753588,1.070663811563169,1.032,1.0329457364341084,1.0637898686679177,1.0052910052910051,0.9982456140350877
Benin,1.1386138613861385,1.3478260869565217,1.0,0.8838709677419354,1.0364963503649636,0.9859154929577466,0.9642857142857143,0.9703703703703703,1.1450381679389312,1.1,1.0666666666666667,1.3011363636363635,0.965065502183406,1.1402714932126696,0.9603174603174602,1.1516528925619836,1.0035880875493361,0.9678226671433678,1.162541558921315,1.2392755004766445,1.0128205128205128,1.0075949367088608,1.2261306532663316,1.1065573770491803,1.0796296296296295,1.0463121783876501,1.0852459016393443,1.1148036253776434,1.0555555555555556,1.165596919127086,0.9966960352422908,1.0320441988950277,1.0032119914346895,0.9978655282817502,1.1582887700534759,0.9788550323176363,1.0612206395623054
Bermuda,1.0289389067524113,1.034375,1.042296072507553,1.0376811594202897,1.0335195530726258,1.045945945945946,1.0568475452196382,1.0537897310513449,1.0162412993039442,1.0525114155251143,1.045553145336226,1.0082987551867217,1.0020576131687242,1.0164271047227926,0.98989898989899,1.0081632653061225,1.008097165991903,1.0240963855421688,1.0784313725490196,1.081818181818182,1.0823529411764705,0.9984472049689439,0.9704510108864697,1.0048076923076925,1.039872408293461,1.021472392638037,1.015015015015015,1.0133136094674555,1.013138686131387,0.9884726224783862,0.9825072886297375,0.9762611275964391,0.9680851063829788,0.9733124018838305,1.0225806451612904,0.9858044164037855,0.9952000000000001
Bhutan,1.2374245472837024,1.116260162601626,0.8907501820830299,1.1283728536385937,1.1315217391304349,1.2078130003202048,1.1426299045599153,0.8993039443155453,1.1529927760577914,1.0660102931304543,1.1908060453400504,0.8928256654327515,1.4935834155972358,1.2011896893588898,1.3742709365026962,1.9642056374119155,1.5839618410860612,0.8084832574061204,0.9365529097160322,0.9840239301131922,1.3904798093198383,1.2818920328919583,1.0755813953488373,1.0756756756756756,1.3534338358458962,2.3056930693069306,0.5340848094471283,0.8180904522613066,1.7457002457002457,1.2593244194229416,0.9615535065660799,1.0610216772243855,1.0985923207536834,1.1057037443286633,1.0316993655617732,0.9392485172704665,1.2685003792443963
Bolivia,1.0518934081346425,1.018,0.9849377865094958,0.9075797872340425,0.9750915750915751,0.9639368895567242,1.0272798129384257,1.235204855842185,1.0546683046683047,1.055911473500291,1.1064533921676778,0.9885343968095714,1.015632879475542,1.1747765640516388,1.074387151310228,1.0704169944925257,1.0742374127159133,1.0581594252480329,1.0714516650501131,1.0247435123717563,0.9944051825677266,1.0319810482676932,1.0338593974175037,1.04496253122398,1.1139442231075696,1.0822603719599426,1.0843798193434677,0.9981714750101586,1.055363321799308,1.0999035679845708,1.0724180256005615,1.0555918901242642,1.0828686493184634,1.0536403947933055,1.071952212869943,0.9859422492401216,1.06679511881824
Botswana,1.1574552780407295,1.1256343580925217,1.0500214244462247,1.0642808984776977,1.0787363507543553,1.1441243741113927,1.159980549477267,0.9501851463704325,0.9880024509803922,1.0870120688158174,1.0537564471221872,1.1823231940398713,1.0203967614302463,1.1497248925151018,1.0255987883708584,1.0587344238835057,1.1195151236276575,1.0089268511977394,1.1133036282622535,0.9788450543167524,1.1810747663551402,1.08704253214639,1.0759781619654232,1.0482029598308666,1.0391286809197258,1.0337732919254659,1.0341719864814118,1.072258533042847,0.9580088046054859,1.1141746200070697,1.0006345177664975,1.01712111604312,1.043640897755611,1.076463560334528,1.0346836847946725,0.9750603378921963,0.882013201320132
Brazil,1.019489423898049,1.0606734188430018,1.1044475777155174,1.1132623586650983,1.0563633129692167,1.0902461503131222,1.0214218867270508,1.0540101583390915,1.0396684340183877,1.0187656986875337,1.0460884585996464,1.0254630110397616,1.0481566937650988,1.0372097395183975,1.0545146054478678,1.0620757449804856,1.0472541388848675,1.0413897983417277,1.025461992810527,1.0366320350005207,0.9456052522065355,1.047602000768516,1.0560918185323704,1.048757825742351,1.0412942195451944,1.0398387530818223,1.056538549010689,1.0386993303761414,0.9969748089722879,1.0886676532751371,1.0343093038720594,1.0362691551979495,1.0326941387253648,1.0263789254117246,0.9852215606804651,0.9982019466819348,1.014017470765834
