country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Equatorial Guinea,0.015,0.013000000000000001,0.012,0.01,0.013000000000000001,0.015,0.013999999999999999,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.017,0.017,0.017,0.018000000000000002,0.018000000000000002,0.081,0.051,0.102,0.113,0.156,0.193,0.252,0.314,0.405,0.462,0.5479999999999999,0.622,0.8109999999999999,1.1520000000000001,1.232,1.252,1.214,1.1540000000000001
Ethiopia,0.17800000000000002,0.17800000000000002,0.172,0.16399999999999998,0.154,0.145,0.128,0.214,0.21600000000000003,0.22399999999999998,0.111,0.114,0.094,0.184,0.09300000000000001,0.039,0.040999999999999995,0.045,0.045,0.018000000000000002,0.022000000000000002,0.018000000000000002,0.02,0.015,0.017,0.011000000000000001,0.009000000000000001,0.152,0.439,0.41700000000000004,0.028999999999999998,0.035,0.011000000000000001,0.008,0.003,0.004,0.004,0.004
Falkland Islands,0.002,0.003,0.003,0.003,0.006,0.008,0.009000000000000001,0.009000000000000001,0.011000000000000001,0.01,0.01,0.01,0.01,0.01,0.01,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.012,0.012,0.013999999999999999,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.011000000000000001,0.01,0.01,0.01,0.01,0.009000000000000001,0.008,0.008
Faroe Islands,0.10300000000000001,0.10800000000000001,0.11199999999999999,0.11199999999999999,0.12,0.133,0.131,0.135,0.14300000000000002,0.135,0.128,0.12,0.10800000000000001,0.1,0.09300000000000001,0.092,0.104476,0.10005700000000001,0.106394,0.122772,0.128,0.145,0.135,0.151,0.138,0.127,0.135,0.14,0.157,0.158,0.187,0.157,0.17,0.16899999999999998,0.141,0.11800000000000001,0.149,0.154
Fiji,0.29,0.297,0.303,0.262,0.094,0.096,0.063,0.057,0.067,0.079,0.077,0.08199999999999999,0.075,0.085,0.10300000000000001,0.10800000000000001,0.10800000000000001,0.11,0.11800000000000001,0.13,0.124,0.131,0.154,0.285,0.282,0.34600000000000003,0.395,0.256,0.27,0.31,0.415,0.34,0.271,0.305,0.42700000000000005,0.452,0.39899999999999997,0.462
Finland,21.97,11.762,10.571,10.185,12.312000000000001,17.125,16.652,18.655,12.294,20.277,22.844,23.76,17.301,20.409000000000002,26.267,23.628,29.969,26.171,22.096999999999998,23.46,22.424,28.076999999999998,30.519000000000002,39.576,34.817,22.014,34.361999999999995,31.095,24.529,24.746,31.168000000000003,24.072,17.21,20.109,16.521,13.342,13.58,11.936
France,117.986,91.39299999999999,91.954,75.848,60.961000000000006,52.251000000000005,40.547,37.363,35.742,48.492,44.291000000000004,56.721000000000004,47.222,32.275999999999996,31.381999999999998,35.791,40.343,36.181,50.702,46.275,46.567,42.305,48.059,52.386,51.523,57.997,51.979,52.966,50.925,46.383,52.26,47.403999999999996,45.258,48.053999999999995,31.392,39.806,50.949,59.113
French Guiana,0.106,0.11599999999999999,0.129,0.154,0.16899999999999998,0.19399999999999998,0.209,0.233,0.265,0.294,0.332,0.381,0.418,0.419,0.419,0.423,0.423,0.425,0.426,0.428,0.428,0.055,0.057,0.06,0.062,0.065,0.067,0.23800000000000002,0.233,0.318,0.35600000000000004,0.354,0.257,0.327,0.337,0.35,0.414,0.5
French Polynesia,0.239,0.262,0.272,0.2,0.168,0.17600000000000002,0.17800000000000002,0.17800000000000002,0.185,0.19399999999999998,0.20800000000000002,0.213,0.212,0.214,0.22399999999999998,0.21,0.204,0.21,0.18899999999999997,0.26,0.273,0.36700000000000005,0.391,0.418,0.434,0.424,0.429,0.436,0.475,0.49,0.35200000000000004,0.41700000000000004,0.431,0.423,0.384,0.381,0.371,0.4
Gabon,0.253,0.171,0.16899999999999998,0.17,0.17300000000000001,0.182,0.183,0.184,0.18899999999999997,0.18899999999999997,0.284,0.293,0.311,0.35600000000000004,0.32299999999999995,0.389,0.41600000000000004,0.433,0.46399999999999997,0.461,0.475,0.469,0.508,0.5670000000000001,0.593,0.7020000000000001,0.6659999999999999,0.88,0.885,0.857,0.958,1.12,1.169,1.084,1.12,1.125,1.288,1.2930000000000001
"Gambia, The",0.037000000000000005,0.045,0.044000000000000004,0.045,0.047,0.048,0.053,0.057999999999999996,0.061,0.057,0.066,0.066,0.067,0.069,0.069,0.07,0.071,0.075,0.08199999999999999,0.091,0.111,0.127,0.142,0.158,0.174,0.191,0.203,0.215,0.22699999999999998,0.22699999999999998,0.23,0.24100000000000002,0.251,0.245,0.264,0.27899999999999997,0.295,0.3
Ghana,0.033,0.040999999999999995,0.04,0.06,0.1,0.081,0.07,0.055,0.052000000000000005,0.045,0.043,0.040999999999999995,0.039,0.021,0.026000000000000002,0.018000000000000002,0.026000000000000002,0.034,0.9329999999999999,0.711,0.5760000000000001,1.176,2.1069999999999998,1.8659999999999999,0.636,1.089,2.641,3.056,2.0,1.956,2.9810000000000003,3.4210000000000003,3.716,4.357,4.298,5.303999999999999,4.071000000000001,7.919
Gibraltar,0.052000000000000005,0.054000000000000006,0.055999999999999994,0.057,0.057,0.059000000000000004,0.061,0.066,0.07,0.076,0.077,0.077,0.083,0.083,0.083,0.083,0.085,0.087,0.092,0.096,0.11800000000000001,0.11800000000000001,0.121,0.126,0.128,0.136,0.142,0.146,0.156,0.16399999999999998,0.166,0.161,0.165,0.17800000000000002,0.18600000000000003,0.21100000000000002,0.239,0.258
Greece,17.892,18.480999999999998,18.212,19.932000000000002,20.205,22.944000000000003,22.791999999999998,24.904,27.386,29.483,31.025,30.684,32.784,33.573,35.409,35.374,35.635,36.905,39.699,41.778,46.17100000000001,47.038999999999994,47.244,48.76,49.591,49.746,49.327,54.606,53.714,49.717,43.913000000000004,47.861000000000004,47.526,40.119,35.782,34.648,36.957,38.905
Greenland,0.151,0.154,0.159,0.165,0.171,0.174,0.179,0.183,0.188,0.19699999999999998,0.207,0.20199999999999999,0.203,0.237,0.24,0.242,0.243,0.258,0.264,0.27699999999999997,0.25,0.23,0.2,0.15,0.14400000000000002,0.147,0.18600000000000003,0.184,0.198,0.16,0.121,0.11599999999999999,0.09699999999999999,0.076,0.084,0.091,0.084,0.122
Grenada,0.023,0.025,0.025,0.025,0.025,0.027999999999999997,0.032,0.038,0.042,0.047,0.052000000000000005,0.055999999999999994,0.059000000000000004,0.061,0.066,0.08900000000000001,0.095,0.1,0.111,0.11900000000000001,0.131,0.14300000000000002,0.149,0.159,0.15,0.147,0.16699999999999998,0.179,0.19,0.195,0.201,0.19699999999999998,0.193,0.191,0.19399999999999998,0.195,0.205,0.21
Guadeloupe,0.29,0.32299999999999995,0.37,0.384,0.43200000000000005,0.462,0.513,0.585,0.64,0.599,0.7020000000000001,0.775,0.847,0.902,0.951,0.953,1.06,1.138,1.1420000000000001,1.145,1.147,1.1520000000000001,1.09,1.095,1.329,1.355,1.416,1.489,1.4880000000000002,1.46,1.46,1.462,1.43,1.39,1.39,1.43,1.435,1.44
