country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
China,1001920.0,1016446.0,1030737.0,1045353.0,1060872.0,1077969.0,1097450.0,1118778.0,1140451.0,1160924.0,1178836.0,1194029.0,1207421.0,1219576.0,1231055.0,1242312.0,1253222.0,1263498.0,1273250.0,1282606.0,1291648.0,1300264.0,1308414.0,1316265.0,1323997.0,1331751.0,1339480.0,1347096.0,1354648.0,1362188.0,1369776.0,1377486.0,1385267.0,1392988.0,1400509.0,1407738.0,1414805.0,1421755.0,1415610.0
Colombia,26900.51,27510.64,28120.78,28730.92,29341.06,29951.2,30581.48,31211.75,31842.03,32472.3,33102.57,33766.35,34430.12,35093.89,35757.66,36421.44,37063.14,37704.85,38346.55,38988.26,39629.97,40233.52,40837.07,41440.62,42044.17,42647.72,43162.72,43677.71,44192.71,44707.7,45222.7,45682.29,46141.89,46601.48,47061.07,47520.67,48193.11,48865.55,49423.7
Comoros,307.829,317.3306,326.8322,336.3338,345.8354,355.337,366.5884,377.8398,389.0912,400.3426,411.594,424.35400000000004,437.11400000000003,449.874,462.634,475.394,488.7866,502.1792,515.5718,528.9644,542.357,556.211,570.065,583.919,597.773,611.627,627.24,642.8530000000001,658.466,674.079,689.692,707.2384,724.7848,742.3312,759.8776,777.424,795.8594,814.2948,832.7
Congo-Brazzaville,1839.935,1897.5020000000002,1955.069,2012.636,2070.203,2127.77,2190.3070000000002,2252.845,2315.382,2377.92,2440.4570000000003,2512.217,2583.976,2655.736,2727.495,2799.255,2884.5490000000004,2969.844,3055.138,3140.433,3225.7270000000003,3324.23,3422.7329999999997,3521.237,3619.74,3718.243,3851.933,3985.623,4119.313,4253.003,4386.693,4508.484,4630.275,4752.066,4873.857,4995.648,5133.902,5272.156,5410.4
Congo-Kinshasa,26357.46,27062.66,27767.86,28473.05,29178.25,29883.45,30829.67,31775.9,32722.13,33668.36,34614.58,36010.81,37407.05,38803.28,40199.51,41595.74,42691.87,43788.0,44884.13,45980.26,47076.39,48611.41,50146.42,51681.44,53216.46,54751.48,56705.83,58660.19,60614.55,62568.91,64523.26,66857.94,69192.6,71527.27,73861.95,76196.62,78858.34,81520.05,84181.8
Costa Rica,2389.31,2457.495,2525.679,2593.864,2662.048,2730.2329999999997,2803.385,2876.538,2949.69,3022.843,3095.995,3178.9809999999998,3261.967,3344.954,3427.94,3510.926,3593.829,3676.7329999999997,3759.636,3842.54,3925.4429999999998,3989.923,4054.402,4118.8820000000005,4183.361,4247.840999999999,4307.329000000001,4366.816,4426.304,4485.792,4545.28,4597.794,4650.309,4702.823,4755.337,4807.852,4855.117,4902.383,4949.7
Cote dIvoire,8033.65,8410.56,8787.469000000001,9164.378,9541.287,9918.196,10319.53,10720.87,11122.21,11523.54,11924.88,12379.85,12834.83,13289.81,13744.79,14199.76,14650.74,15101.72,15552.71,16003.69,16454.67,16834.64,17214.61,17594.58,17974.54,18354.51,18790.2,19225.89,19661.58,20097.26,20532.95,21071.59,21610.23,22148.87,22687.5,23226.14,23856.57,24487.0,24946.4
Cuba,9835.177,9884.739,9934.302,9983.864,10033.43,10082.99,10182.81,10282.63,10382.44,10482.26,10582.08,10646.87,10711.67,10776.46,10841.25,10906.04,10954.98,11003.92,11052.86,11101.8,11150.74,11177.44,11204.14,11230.85,11257.55,11284.25,11294.01,11303.77,11313.53,11323.29,11333.05,11358.73,11384.4,11410.08,11435.76,11461.43,11468.24,11475.06,11481.9
Cyprus,512.3,522.845,524.623,531.518,538.3969999999999,544.605,550.888,556.5840000000001,562.693,572.655,587.141,603.069,619.231,632.944,645.399,656.3330000000001,666.313,675.215,682.862,690.497,697.549,705.539,713.72,722.893,733.067,744.013,757.916,776.3330000000001,796.93,819.14,839.7510000000001,862.0110000000001,865.878,858.0,847.008,848.319,854.802,864.2360000000001,868.7
Denmark,5123.267,5120.967000000001,5117.474,5113.755,5111.491,5114.335999999999,5121.599,5127.582,5129.581,5133.2970000000005,5142.322,5156.254,5173.681,5190.630999999999,5208.564,5237.786,5266.085999999999,5287.4580000000005,5306.558000000001,5323.854,5342.015,5361.1759999999995,5377.825,5392.34,5406.243,5421.438,5439.725,5465.026,5498.079000000001,5526.005999999999,5550.919,5573.058000000001,5594.335999999999,5618.007,5647.535,5689.425,5733.2,5769.031999999999,5787.2
Djibouti,358.96,372.291,385.621,398.952,412.282,425.61300000000006,458.57,491.527,524.484,557.441,590.398,598.396,606.394,614.3919999999999,622.39,630.388,647.827,665.2660000000001,682.706,700.145,717.584,730.7180000000001,743.852,756.9860000000001,770.12,783.2539999999999,796.832,810.4110000000001,823.9889999999999,837.568,851.1460000000001,866.4,881.653,896.9069999999999,912.16,927.414,941.9110000000001,956.408,970.9
